🧚,fairy,Oberon,Titania,Puck,,,,,
🧚‍♂,man fairy,Oberon,male,Puck,,,,,
🧚‍♀,Titania,woman fairy,female,,,,,,
🧛,Dracula,undead,vampire,,,,,,
🧛‍♂,Dracula,man vampire,male,undead,,,,,
🧛‍♀,undead,woman vampire,female,,,,,,
🧜,mermaid,merman,merwoman,merperson,,,,,
🧜‍♂,merman,Triton,male,,,,,,
🧜‍♀,mermaid,merwoman,female,,,,,,
🧝,elf,magical,,,,,,,
🧝‍♂,magical,man elf,male,,,,,,
🧝‍♀,magical,woman elf,female,,,,,,
🧞,djinn,genie,,,,,,,
🧞‍♂,djinn,man genie,male,,,,,,
🧞‍♀,djinn,woman genie,female,,,,,,
🧟,undead,walking dead,zombie,,,,,,
🧟‍♂,man zombie,undead,male,walking dead,,,,,
🧟‍♀,undead,walking dead,female,woman zombie,,,,,
💆,face,massage,salon,person getting massage,,,,,
💆‍♂,face,man,massage,man getting massage,male,,,,
💆‍♀,face,massage,woman getting massage,woman,female,,,,
💇,barber,beauty,parlor,haircut,person getting haircut,,,,
💇‍♂,haircut,man,male,man getting haircut,,,,,
💇‍♀,haircut,woman,female,woman getting haircut,,,,,
🚶,hike,person walking,walking,walk,,,,,
🚶‍♂,hike,man,walk,man walking,male,,,,
🚶‍♀,hike,walk,woman walking,woman,female,,,,
🧍,person standing,stand,standing,,,,,,
🧍‍♂,man,standing,male,,,,,,
🧍‍♀,standing,woman,female,,,,,,
🧎,kneel,kneeling,person kneeling,,,,,,
🧎‍♂,kneeling,man,male,,,,,,
🧎‍♀,kneeling,woman,female,,,,,,
🧑‍🦯,accessibility,blind,person with white cane,,,,,,
👨‍🦯,accessibility,blind,man with white cane,man,male,,,,
👩‍🦯,accessibility,blind,woman with white cane,woman,female,,,,
🧑‍🦼,accessibility,person in motorized wheelchair,wheelchair,,,,,,
👨‍🦼,accessibility,man,wheelchair,man in motorized wheelchair,male,,,,
👩‍🦼,accessibility,wheelchair,woman in motorized wheelchair,woman,female,,,,
🧑‍🦽,accessibility,person in manual wheelchair,wheelchair,,,,,,
👨‍🦽,accessibility,man,wheelchair,man in manual wheelchair,male,,,,
👩‍🦽,accessibility,wheelchair,woman in manual wheelchair,woman,female,,,,
🏃,marathon,person running,running,,,,,,
🏃‍♂,man,marathon,running,racing,male,,,,
🏃‍♀,marathon,racing,woman,running,female,,,,
💃,dance,dancing,female,woman,,,,,
🕺,dance,dancing,male,man,,,,,
🕴,business,person,suit,person in suit levitating,,,,,
